col_parc	period	plot	site	x	y	seeds	seedsp	euterpe	sloanea	virola	seedl	seedlsp	seedlsurv	eut.seedl	slo.seedl	vir.seedl	nivel	pH_H2O	pH_KCl	pH_Cacl2	MO	P	Na	K	Ca	Mg	Al	H+Al	SB	T	Vpct	mpct	vcs	cs	ms	fs	vfs	sandpct	siltpct	claypct	natclay	dens_gcm3	phi_r	phi_s	alfa	m	n	S
67	M	J6	NB	203039.20	7322496.41	49	13	4	0	0	10	7	10	4	0	0	4	4.00	3.90	3.80	46.0	6.0	1.55	2.25	4.5	4.0	19.0	82.5	12.30	94.80	12.5	61.5	11.0	15.0	9.0	10.0	3.0	48.0	15.0	37.0	2.0	0.99	0.16	0.62	1.02	0.12	1.14	0.05
68	M	E2	NB	202922.80	7322530.32	65	12	3	0	0	3	3	3	0	0	0	2	3.70	3.70	3.60	31.0	22.0	2.00	4.50	14.0	9.0	26.0	96.0	29.50	125.50	24.0	47.0	12.0	19.0	13.0	13.0	3.0	60.0	13.0	27.0	8.0	0.99	0.14	0.62	1.40	0.07	1.07	0.03
69	M	F4	NB	202963.08	7322527.66	62	14	3	0	0	12	8	9	2	0	0	2	3.85	3.75	3.65	39.5	10.0	0.90	2.20	9.0	5.0	23.0	87.0	17.10	104.10	14.5	63.0	19.0	16.0	10.0	8.0	2.5	55.5	12.5	32.0	7.0	1.13	0.15	0.56	1.03	0.13	1.16	0.04
70	M	H4	NB	202972.31	7322503.68	69	18	1	1	0	5	5	5	1	0	0	2	3.60	3.70	3.60	53.5	17.0	0.90	2.65	19.0	8.5	26.5	92.5	31.05	123.55	23.5	55.0	12.0	13.0	9.5	11.0	2.5	48.0	14.0	38.0	3.0	1.13	0.16	0.57	0.76	0.17	1.21	0.04
71	M	I5	NB	203009.45	7322497.49	20	8	1	0	0	10	7	9	1	0	0	2	4.45	3.90	3.95	35.5	5.5	0.40	1.75	13.5	4.5	9.5	73.0	20.15	93.15	19.5	40.0	17.0	20.0	8.5	9.5	2.5	57.5	9.5	33.0	6.0	1.13	0.16	0.55	1.33	0.13	1.16	0.03
72	M	H6	NB	203013.52	7322531.96	24	8	13	0	0	26	2	25	25	0	0	3	3.75	3.75	3.70	38.5	6.5	0.50	1.70	5.0	3.5	19.0	66.0	10.70	76.70	13.0	66.0	14.0	20.0	11.0	9.0	4.0	58.0	12.0	30.0	4.0	1.13	0.15	0.56	1.10	0.12	1.15	0.03
73	M	G6	NB	203004.84	7322532.21	29	10	4	0	0	4	2	4	0	0	0	3	3.75	3.75	3.70	38.5	6.5	0.50	1.70	5.0	3.5	19.0	66.0	10.70	76.70	13.0	66.0	14.0	20.0	11.0	9.0	4.0	58.0	12.0	30.0	4.0	1.13	0.15	0.56	1.10	0.12	1.15	0.03
74	M	C4	NB	202924.64	7322584.93	57	9	4	0	0	3	3	3	1	0	0	6	4.20	3.90	4.00	44.5	11.5	0.75	1.90	48.5	5.5	8.0	77.0	56.65	133.65	41.0	13.5	13.0	15.5	10.0	12.0	3.5	54.0	16.5	29.5	6.0	1.13	0.13	0.58	0.87	0.13	1.16	0.04
75	M	C5	NB	202938.94	7322597.43	4284	15	5	0	1	8	7	8	1	0	0	9	4.00	3.90	3.85	40.5	7.0	0.85	2.50	5.5	4.5	20.5	86.5	13.35	99.85	12.0	64.5	20.0	13.0	8.0	9.5	3.5	54.0	13.0	33.0	1.0	1.13	0.15	0.56	0.99	0.14	1.17	0.04
76	M	B3	NB	202907.57	7322590.75	90	18	18	0	0	14	5	10	2	0	0	9	4.30	4.10	4.20	41.0	25.0	1.40	6.10	86.0	18.0	4.0	88.0	111.50	199.50	56.0	3.0	7.0	9.0	12.0	14.0	4.0	46.0	26.0	28.0	6.0	0.99	0.09	0.65	0.83	0.11	1.12	0.05
